3MA	[np] - 3MA [np]
Pere	[np] - Pere [np]
Perea	[np] - Perea [np]
Pereira	[np] - Pereira [np]
Peres	[np] - Peres [np]
Peretz	[np] - Peretz [np]
Perez	[np] - Perez [np]
perfection	[n] - perfección [n]
perfectionner	[vblex] - perfeccionar [vblex]
perforation	[n] - perforación [n]
performance	[n] - prestación [n]
performant	[adj.f] - eficiente [adj.mf]
performant	[adj.GD] - eficiente [adj.mf]
performant	[adj.m] - eficiente [adj.mf]
Perianes	[np] - Perianes [np]
Peris	[np] - Peris [np]
perle	[n] - perla [n]
Permach	[np] - Permach [np]
permanence	[n] - permanencia [n]
permanent	[adj.f] - permanente [adj.mf]
permanent	[adj.GD] - permanente [adj.mf]
permanent	[adj.m] - permanente [adj.mf]
permettre	[vblex] - permitir [vblex]
permettre	[vblex] - posibilitar [vblex]
permettre de	[vblex] - permitir [vblex]
permis	[n.m.sp] - permiso [n.m.ND]
permis de construire	[n.m.sp] - licencia de obras [n.f.ND]
permis de construire	[n.m.sp] - licencia de obras [n.f.pl]
permis de construire	[n.m.sp] - licencia de obras [n.f.sg]
permission	[n.f] - permiso [n.m]
permissivité	[n] - permisividad [n]
permuter	[vblex] - permutar [vblex]
Pernambouc	[np] - Pernambuco [np]
Pernando	[np] - Pernando [np]
Perouse	[np] - Perugia [np]
Perpetuum	[np] - Perpetuum [np]
Perpignan	[np] - Perpiñán [np]
perplexe	[adj.mf] - perplejo [adj.f]
perplexe	[adj.mf] - perplejo [adj.GD]
perplexe	[adj.mf] - perplejo [adj.m]
perplexité	[n] - perplejidad [n]
perpétrer	[vblex] - perpetrar [vblex]
perpétuel	[adj] - perpetuo [adj]
perpétuité	[n] - perpetuidad [n]
Perrault	[np] - Perrault [np]
Perrier	[np] - Perrier [np]
perroquet	[n] - loro [n]
perroquet	[n] - papagayo [n]
perruche	[n.f] - periquito [n.m]
perruche	[n] - cotorra [n]
perruche	[n] - periquito [n]
perruque	[n] - peluca [n]
persan	[adj.f] - persa [adj.mf]
persan	[adj.GD] - persa [adj.mf]
persan	[adj.m] - persa [adj.mf]
persan	[n.f] - persa [n.mf]
persan	[n.GD] - persa [n.mf]
persan	[n.m] - persa [n.mf]
Perse	[np] - Persia [np]
persienne	[n] - persiana [n]
persique	[adj.mf] - pérsico [adj.f]
persique	[adj.mf] - pérsico [adj.GD]
persique	[adj.mf] - pérsico [adj.m]
persistance	[n] - persistencia [n]
persister	[vblex] - persistir [vblex]
personnage	[n] - personaje [n]
personnalisation	[n] - personalización [n]
personnalisé	[adj] - personalizado [adj]
personnalité	[n] - personalidad [n]
personne	[n] - persona [n]
personne	[prn.tn.mf.sg] - nadie [prn.tn.mf.sg]
personne autorisée	[n] - persona autorizada [n]
personne morale	[n] - persona jurídica [n]
personne morale	[n] - persona moral [n]
personne physique	[n] - persona física [n]
personnel	[adj.f] - personal [adj.mf]
personnel	[adj.GD] - personal [adj.mf]
personnel	[adj.m] - personal [adj.mf]
personnel	[n.m] - plantilla [n.f]
personnel	[n] - personal [n]
personnel temporaire	[n] - personal eventual [n]
personnellement	[adv] - personalmente [adv]
perspective	[n] - perspectiva [n]
persécuteur	[adj] - perseguidor [adj]
persécution	[n] - persecución [n]
Persée	[np] - Perseo [np]
Perséphone	[np] - Perséfone [np]
perte	[n.f] - extravío [n.m]
perte	[n.f] - pérdida [n.f]
pertes et profits	[n] - pérdidas y ganancias [n]
pertinence	[n] - conveniencia [n]
pertinence	[n] - idoneidad [n]
pertinent	[adj.f] - pertinente [adj.mf]
pertinent	[adj.GD] - pertinente [adj.mf]
pertinent	[adj.m] - pertinente [adj.mf]
perturbation	[n] - perturbación [n]
perturber	[vblex] - perturbar [vblex]
pervers	[adj.f] - perverso [adj.f]
pervers	[adj.m.sp] - perverso [adj.m.ND]
pervers	[adj.m.sp] - perverso [adj.m.pl]
pervers	[adj.m.sp] - perverso [adj.m.sg]
perversion	[n] - perversión [n]
perversité	[n] - perversidad [n]
Pervez	[np] - Pervez [np]
Pervez Musharraf	[np] - Pervez Musharraf [np]
Perón	[np] - Perón [np]
pesage	[n] - pesaje [n]
peser	[vblex] - pesar [vblex]
peseta	[n] - peseta [n]
pesetas	[n] - ptas [n]
pessimisme	[n] - pesimismo [n]
pessimiste	[n] - pesimista [n]
peste	[n] - peste [n]
pestilence	[n] - pestilencia [n]
Petacchi	[np] - Petacchi [np]
Peter	[np] - Peter [np]
Petit	[np] - Petit [np]
petit	[adj] - pequeño [adj]
petit avion	[n.m] - avioneta [n.f]
Petit Belt	[np] - Pequeño Belt [np]
petit déjeuner	[n] - desayuno [n]
petit à petit	[adv] - poco a poco [adv]
petit-déjeuner	[n] - almuerzo [n]
petit-déjeuner	[vblex] - desayunar [vblex]
petit-fils	[n.m.sp] - nieto [n.m.ND]
petit-fils	[n.m.sp] - nieto [n.m.pl]
petit-fils	[n.m.sp] - nieto [n.m.sg]
petit-rouge	[adj.mf] - rojillo [adj.f]
petit-rouge	[adj.mf] - rojillo [adj.GD]
petit-rouge	[adj.mf] - rojillo [adj.m]
petite enfance	[n] - primera infancia [n]
petite et moyenne entreprise	[n] - pequeña y mediana empresa [n]
Petite Ourse	[np] - Osa Menor [np]
petite place	[n] - plazoleta [n]
petite place	[n] - plazuela [n]
petite-fille	[n] - nieta [n]
Petites Antilles	[np] - Pequeñas Antillas [np]
petites places	[n] - plazoletas [n]
Petites Îles de la Sonde	[np] - Pequeñas Islas de la Sonda [np]
Petr Ilitch	[np] - Piotr Ilich [np]
Petra	[np] - Petra [np]
Petrella	[np] - Petrella [np]
Petrikorena	[np] - Petrikorena [np]
Petrov	[np] - Petrov [np]
peu	[adv] - poco [adv]
peu de	[adj.mf.sp] - poco [adj.f.pl]
peu de	[adj.mf.sp] - poco [adj.f.sg]
peu de	[adj.mf.sp] - poco [adj.GD.ND]
peu de	[adj.mf.sp] - poco [adj.m.pl]
peu de	[adj.mf.sp] - poco [adj.m.sg]
peu de	[adj.mf.sp] - poquito [adj.f.pl]
peu de	[adj.mf.sp] - poquito [adj.f.sg]
peu de	[adj.mf.sp] - poquito [adj.m.pl]
peu de	[adj.mf.sp] - poquito [adj.m.sg]
Peugeot	[np] - Peugeot [np]
peuple	[n] - pueblo [n]
peuple basque	[n] - pueblo vasco [n]
peupler	[vblex] - poblar [vblex]
peupleraie	[n] - alameda [n]
peuplier	[n] - álamo [n]
peur	[n.f] - miedo [n.m]
peut être	[adv] - puede ser [adv]
peut-être	[adv] - a lo mejor [adv]
peut-être	[adv] - acaso [adv]
peut-être	[adv] - quizá [adv]
peut-être	[adv] - quizás [adv]
peut-être	[adv] - tal vez [adv]
Peña	[np] - Peña [np]
Pfizer	[np] - Pfizer [np]
phalangiste	[adj] - falangista [adj]
phare	[n] - faro [n]
pharmacie	[n] - farmacia [n]
pharmacien	[n] - farmacéutico [n]
pharmacologique	[adj.mf] - farmacológico [adj.f]
pharmacologique	[adj.mf] - farmacológico [adj.GD]
pharmacologique	[adj.mf] - farmacológico [adj.m]
Pharsale	[np] - Farsalia [np]
phase	[n] - fase [n]
Phelps	[np] - Phelps [np]
Phidias	[np] - Fidias [np]
Philadelphie	[np] - Filadelfia [np]
Philae	[np] - File [np]
philanthrope	[n.mf] - filántropo [n.f]
philanthrope	[n.mf] - filántropo [n.GD]
philanthrope	[n.mf] - filántropo [n.m]
philatélique	[adj.mf] - filatélico [adj.f]
philatélique	[adj.mf] - filatélico [adj.GD]
philatélique	[adj.mf] - filatélico [adj.m]
Philip	[np] - Philip [np]
Philippe	[np] - Philippe [np]
Philippe de Grèce	[np] - Felipe de Grecia y de Dinamarca [np]
Philippe Ier le Beau	[np] - Felipe I el Hermoso [np]
Philippe II	[np] - Filipo II [np]
Philippe II le Hardi	[np] - Felipe II el Atrevido [np]
Philippe IV le Bel	[np] - Felipe IV el Hermoso [np]
Philippe V le Long	[np] - Felipe V el Largo [np]
Philippe VI de Valois	[np] - Felipe VI de Valois [np]
Philippes	[np] - Filipos [np]
philippin	[n] - filipino [n]
Philippines	[np] - Filipinas [np]
Philips	[np] - Philips [np]
philosopher	[vblex] - filosofar [vblex]
philosophie	[n] - filosofía [n]
philosophique	[adj.mf] - filosófico [adj.f]
philosophique	[adj.mf] - filosófico [adj.GD]
philosophique	[adj.mf] - filosófico [adj.m]
Phnom Penh	[np.loc] - Phnom Penh [np.loc]
PHO	[n.acr] - PHO [n.acr]
Pho	[np] - Pho [np]
phobie	[n] - fobia [n]
Phoebus	[np] - Febo [np]
Phonak	[np] - Phonak [np]
phoque	[n.m] - foca [n.f]
photo	[n] - foto [n]
photo avec une légende	[n] - fotonoticia [n]
photo-dénonciation	[n] - fotodenuncia [n]
photo-galerie	[n] - fotogalería [n]
photocopie	[n] - fotocopia [n]
photocopier	[vblex] - fotocopiar [vblex]
photocopieur	[n] - fotocopiador [n]
photocopieuse	[n] - fotocopiadora [n]
photogalerie	[n] - fotogalería [n]
photogramme	[n] - fotograma [n]
photographe	[n.mf] - fotógrafo [n.f]
photographe	[n.mf] - fotógrafo [n.GD]
photographe	[n.mf] - fotógrafo [n.m]
photographie	[n] - fotografía [n]
photographier	[vblex] - fotografiar [vblex]
photographique	[adj.mf] - fotográfico [adj.f]
photographique	[adj.mf] - fotográfico [adj.GD]
photographique	[adj.mf] - fotográfico [adj.m]
photon	[n.mf] - fotón [n.m]
photonouvelle	[n] - fotonoticia [n]
phrase	[n] - frase [n]
Phrygie	[np] - Frigia [np]
Phrynichos	[np] - Frínico [np]
phréatique	[adj.mf] - freático [adj.f]
phréatique	[adj.mf] - freático [adj.GD]
phréatique	[adj.mf] - freático [adj.m]
physicien	[n] - físico [n]
physiologique	[adj.mf] - fisiológico [adj.f]
physiologique	[adj.mf] - fisiológico [adj.GD]
physiologique	[adj.mf] - fisiológico [adj.m]
physionomie	[n] - fisonomía [n]
physiothérapeute	[n] - fisioterapeuta [n]
physiothérapie	[n] - fisioterapia [n]
physique	[adj.mf] - físico [adj.f]
physique	[adj.mf] - físico [adj.GD]
physique	[adj.mf] - físico [adj.m]
physiquement	[adv] - físicamente [adv]
Phèdre	[np] - Fedra [np]
Phébus	[np] - Febo [np]
Phénicie	[np] - Fenicia [np]
Phénix	[np] - Fénix [np]
phénomène	[n] - fenómeno [n]
phénoménal	[adj.f] - fenomenal [adj.mf]
phénoménal	[adj.GD] - fenomenal [adj.mf]
phénoménal	[adj.m] - fenomenal [adj.mf]
Piaf	[np] - Piaf [np]
pianiste	[n] - pianista [n]
piano	[n] - piano [n]
PIB	[n.acr] - PIB [n.acr]
Picanto	[np] - Picanto [np]
Picardie	[np] - Picardía [np]
Picasso	[np] - Picasso [np]
Picazo	[np] - Picazo [np]
Picaña	[np] - Picanya [np]
Picaña	[np] - Picaña [np]
Piccinini	[np] - Piccinini [np]
pichet	[n] - búcaro [n]
pichet	[n] - jarro [n]
pichet	[n] - jarrón [n]
Pichichi	[np] - Pichichi [np]
Pics d'Europe	[np] - Picos de Europa [np]
pictural	[adj] - pictórico [adj]
Pie	[np] - Pío [np]
pied	[n] - pie [n]
Piera	[np] - Piera [np]
Pierluigi	[np] - Pierluigi [np]
Pierre	[np] - Pierre [np]
pierre	[n] - piedra [n]
Pierre Abélard	[np] - Pedro Abelardo [np]
Pierre de Cortone	[np] - Pietro da Cortona [np]
pierre tombale	[n] - lápida [n]
Pierre-Jean	[np] - Pierre-Jean [np]
Pietro	[np] - Pietro [np]
pigeon	[n] - palomo [n]
piger	[vblex] - entender [vblex]
Pilar	[np] - Pilar [np]
Pili	[np] - Pili [np]
pilier	[n] - pilar [n]
piller	[vblex] - saquear [vblex]
pilote	[n] - piloto [n]
piloter	[vblex] - conducir [vblex]
pilule	[n] - píldora [n]
PIN	[n.acr] - PIN [n.acr]
pin	[n] - pin [n]
pin	[n] - pino [n]
pinacothèque	[n] - pinacoteca [n]
Pinault	[np] - Pinault [np]
pinceau	[n] - pincel [n]
pincement	[n] - pellizco [n]
Pineda	[np] - Pineda [np]
pingouin	[n] - pingüino [n]
Pinilla	[np] - Pinilla [np]
Pinochet	[np] - Pinochet [np]
Pinotti	[np] - Pinotti [np]
pinède	[n.f] - pinar [n.m]
pinède	[n] - pineda [n]
pioche	[n.f] - pico [n.m]
pioche	[n] - piqueta [n]
pionnier	[adj] - pionero [adj]
pionnier	[n] - pionero [n]
pipe	[n] - pipa [n]
piquant	[adj.f] - mordaz [adj.mf]
piquant	[adj.f] - picante [adj.mf]
piquant	[adj.GD] - mordaz [adj.mf]
piquant	[adj.GD] - picante [adj.mf]
piquant	[adj.m] - mordaz [adj.mf]
piquant	[adj.m] - picante [adj.mf]
pique	[n.f] - pincho [n.m]
piquer	[vblex] - pinchar [vblex]
Piqué	[np] - Piqué [np]
piqûre	[n] - pinchazo [n]
pirate	[adj] - pirata [adj]
pirate	[n] - pirata [n]
pirater	[vblex] - piratear [vblex]
piraterie	[n] - piratería [n]
pire	[adj] - peor [adj]
pis	[adj.mf.sp] - peor [adj.mf.ND]
Pisani	[np] - Pisani [np]
piscine	[n] - piscina [n]
Pise	[np] - Pisa [np]
piste	[n] - pista [n]
piste cyclable	[n.f] - bidegorri [n.m]
piste cyclable	[n.f] - carril bici [n.m]
pister	[vblex] - rastrear [vblex]
pistolet	[n.m] - pistola [n.f]
Pistolleto	[np] - Pistolleto [np]
Piter	[np] - Piter [np]
Piterman	[np] - Piterman [np]
pittoresque	[adj.mf] - pintoresco [adj.f]
pittoresque	[adj.mf] - pintoresco [adj.GD]
pittoresque	[adj.mf] - pintoresco [adj.m]
pivot	[n.m] - pívot [n.mf]
pivot	[n] - pivote [n]
pivotage	[n] - pivotaje [n]
pivoter	[vblex] - pivotar [vblex]
Pizarro	[np] - Pizarro [np]
pizza	[n] - pizza [n]
pièce	[n] - pieza [n]
pièce	[n] - prenda [n]
piège	[n.m] - trampa [n.f]
piédestal	[n] - pedestal [n]
Piémont	[np] - Piamonte [np]
piéton	[n] - peatón [n]
piété	[n] - piedad [n]
Pla	[np] - Pla [np]
placard	[n.m] - alacena [n.f]
place	[n.f] - lugar [n.m]
place	[n] - plaza [n]
place libérée	[n] - plaza librada [n]
place tireuse	[n] - plaza libradora [n]
placebo	[n] - placebo [n]
placement	[n.m] - colocación [n.f]
placer	[vblex] - colocar [vblex]
placer	[vblex] - ubicar [vblex]
placidité	[n] - placidez [n]
plafond	[n] - techo [n]
plage	[n] - playa [n]
plaider	[vblex] - abogar [vblex]
plaider	[vblex] - defender [vblex]
plaidoirie	[n.f] - alegato [n.m]
plaie	[n] - llaga [n]
plaie	[n] - plaga [n]
plaignant	[adj.f] - demandante [adj.mf]
plaignant	[adj.GD] - demandante [adj.mf]
plaignant	[adj.m] - demandante [adj.mf]
plaignant	[n.f] - demandante [n.mf]
plaignant	[n.GD] - demandante [n.mf]
plaignant	[n.m] - demandante [n.mf]
plaindre	[vblex] - quejar [vblex]
plaine	[n] - llanura [n]
plainte	[n] - queja [n]
plaire	[vblex] - agradar [vblex]
plaire	[vblex] - gustar [vblex]
plaisant	[adj.f] - agradable [adj.mf]
plaisant	[adj.GD] - agradable [adj.mf]
plaisant	[adj.m] - agradable [adj.mf]
plaisant	[adj] - placentero [adj]
plaisanterie	[n] - broma [n]
plaisir	[n] - disfrute [n]
plaisir	[n] - placer [n]
plan	[n] - plan [n]
plan	[n] - plano [n]
plan d'aide à l'investissement	[n.acr] - PAI [n.acr]
Plana	[np] - Plana [np]
plancton	[n] - plancton [n]
planer	[vblex] - planear [vblex]
planification	[n] - planificación [n]
planifier	[vblex] - planificar [vblex]
plantation	[n] - plantación [n]
plante	[n] - planta [n]
planter	[vblex] - plantar [vblex]
planète	[n.f] - planeta [n.m]
planétaire	[adj.mf] - planetario [adj.f]
planétaire	[adj.mf] - planetario [adj.GD]
planétaire	[adj.mf] - planetario [adj.m]
planétarium	[n] - planetario [n]
planétarium	[n] - planetarium [n]
plaque	[n] - matrícula [n]
plaque	[n] - placa [n]
plastique	[adj.mf] - plástico [adj.f]
plastique	[adj.mf] - plástico [adj.GD]
plastique	[adj.mf] - plástico [adj.m]
plastique	[n] - plástico [n]
plat	[adj] - plano [adj]
plat-bord	[n.m] - regala [n.f]
platane	[n] - plátano [n]
plate	[n] - bandeja [n]
plate-forme	[n] - plataforma [n]
plateau	[n] - escenario [n]
Plateau des Guyanes	[np] - Macizo de las Guayanas [np]
Platero	[np] - Platero [np]
platine	[n] - platino [n]
Platon	[np] - Platón [np]
Plaute	[np] - Plauto [np]
Play	[np] - Play [np]
Play-Off	[np] - Play-Off [np]
playstation	[n] - playstation [n]
Playtime	[np] - Playtime [np]
plein	[adj] - lleno [adj]
plein	[adj] - pleno [adj]
pleinement	[adv] - plenamente [adv]
Plentzia	[np] - Plentzia [np]
pleur	[n] - llanto [n]
pleurer	[vblex] - llorar [vblex]
pleurs	[n.m.pl] - llanto [n.m.pl]
pleurs	[n.m.pl] - llanto [n.m.sg]
pleuvoir	[vblex] - llover [vblex]
pleuvoir des clous	[vblex] - llover a cántaros [vblex]
Pleyel	[np] - Pleyel [np]
pli	[n] - pliegue [n]
pliant	[adj.f] - plegable [adj.mf]
pliant	[adj.GD] - plegable [adj.mf]
pliant	[adj.m] - plegable [adj.mf]
Pline	[np] - Plinio [np]
Pline l'Ancien	[np] - Plinio el Viejo [np]
Pline le Jeune	[np] - Plinio el Joven [np]
plomber	[vblex] - plomar [vblex]
plombier	[n] - fontanero [n]
plonger	[vblex] - sumergir [vblex]
plongée	[n.f] - buceo [n.m]
pluie	[n] - lluvia [n]
plume	[n] - pluma [n]
plupart	[n.f.sg] - mayoría [n.f.sg]
pluralité	[n] - pluralidad [n]
pluriactivité	[n] - pluriactividad [n]
pluriannuel	[adj.f] - plurianual [adj.mf]
pluriannuel	[adj.GD] - plurianual [adj.mf]
pluriannuel	[adj.m] - plurianual [adj.mf]
pluridisciplinaire	[adj] - multidisciplinar [adj]
pluriel	[adj.f] - plural [adj.mf]
pluriel	[adj.GD] - plural [adj.mf]
pluriel	[adj.m] - plural [adj.mf]
pluriel	[n] - plural [n]
plus	[adv] - más [adv]
plus	[n] - plus [n]
plus vite	[cnjadv] - cuanto antes [cnjadv]
plus-value	[n] - plusvalía [n]
plusieurs	[det.ind.mf] - vario [det.ind.GD]
Plutarque	[np] - Plutarco [np]
Pluton	[np] - Plutón [np]
plutôt	[adv] - más bien [adv]
plutôt que	[cnjadv] - antes que [cnjadv]
plutôt que	[cnjadv] - más bien que [cnjadv]
pluvial	[adj.f] - pluvial [adj.mf]
pluvial	[adj.GD] - pluvial [adj.mf]
pluvial	[adj.m] - pluvial [adj.mf]
Plymouth	[np] - Plymouth [np]
plâtrier	[n.f] - escayolista [n.mf]
plâtrier	[n.GD] - escayolista [n.mf]
plâtrier	[n.m] - escayolista [n.mf]
plébéien	[n] - plebeyo [n]
plénier	[adj] - plenario [adj]
plénitude	[n] - plenitud [n]
Pléyades	[np] - Pléyades [np]
PME	[n] - pyme [n]
pneumatique	[n] - neumático [n]
pneumonie	[n] - neumonía [n]
PNV	[n.acr] - PNV [n.acr]
poche	[n.f] - bolsillo [n.m]
Podcast	[np] - Podcast [np]
podcaster	[n] - podcaster [n]
Podgorica	[np] - Podgorica [np]
podium	[n] - podio [n]
podologie	[n] - podología [n]
podologue	[n.mf] - podólogo [n.f]
podologue	[n.mf] - podólogo [n.GD]
podologue	[n.mf] - podólogo [n.m]
poids	[n.m.sp] - peso [n.m.ND]
poids	[n.m.sp] - peso [n.m.pl]
poids	[n.m.sp] - peso [n.m.sg]
poignarder	[vblex] - acuchillar [vblex]
poignarder	[vblex] - apuñalar [vblex]
poignet	[n.m] - muñeca [n.f]
poignée	[n.f] - puñado [n.m]
poignée	[n] - tiborta [n]
poil	[n] - pelo [n]
poilu	[adj] - peludo [adj]
poing	[n] - puño [n]
point	[n] - punto [n]
point de vente	[n] - punto de venta [n]
point de vente agréé	[n] - punto de venta autorizado [n]
point du tout	[adv] - en absoluto [adv]
pointe	[n.f] - encaje [n.m]
pointe	[n.f] - punta [n.f]
Pointe-à-Pitre	[np] - Pointe-à-Pitre [np]
poison	[n] - veneno [n]
poisson	[n] - pescado [n]
poisson	[n] - pez [n]
Poissons	[np] - Piscis [np]
Poitiers	[np] - Poitiers [np]
Poitou-Charentes	[np] - Poitou-Charentes [np]
poitrine	[n.f] - pecho [n.m]
poivre	[n.m] - pimienta [n.f]
poivron	[n] - pimiento [n]
POL	[n.acr] - POL [n.acr]
polaire	[adj] - polar [adj]
Polaris	[np] - Polaris [np]
polarisation	[n] - polarización [n]
police	[n.f] - policía [n.f]
police	[n] - póliza [n]
police d'assurance	[n] - póliza de seguros [n]
policer	[vblex] - civilizar [vblex]
polichinelle	[n] - polichinela [n]
policier	[adj.f] - policial [adj.mf]
policier	[adj.GD] - policial [adj.mf]
policier	[adj.m] - policial [adj.mf]
policier	[adj] - policiaco [adj]
policier	[adj] - policíaco [adj]
policier	[n.f] - policía [n.mf]
policier	[n.GD] - policía [n.mf]
policier	[n.m] - policía [n.mf]
politesse	[n] - cortesía [n]
politicien	[n] - político [n]
politique	[adj.mf] - político [adj.f]
politique	[adj.mf] - político [adj.GD]
politique	[adj.mf] - político [adj.m]
politique	[n.mf] - político [n.f]
politique	[n.mf] - político [n.GD]
politique	[n.mf] - político [n.m]
politique	[n] - política [n]
Politique Agricole Commune	[np] - Política Agraria Común [np]
politique de l'environnement	[n] - política ambiental [n]
politique de respect de la vie privée	[n] - política de privacidad [n]
politique égalitaire	[n] - política igualitaria [n]
politiquement	[adv] - políticamente [adv]
politisation	[n] - politización [n]
Politkovskaïa	[np] - Politkovskaya [np]
pollen	[n] - polen [n]
polluant	[adj.f] - contaminante [adj.mf]
polluant	[adj.GD] - contaminante [adj.mf]
polluant	[adj.m] - contaminante [adj.mf]
pollution	[n] - contaminación [n]
Pollux	[np] - Pólux [np]
Pologne	[np] - Polonia [np]
polonais	[adj.f] - polaco [adj.f]
polonais	[adj.m.sp] - polaco [adj.m.ND]
polonais	[adj.m.sp] - polaco [adj.m.pl]
polonais	[adj.m.sp] - polaco [adj.m.sg]
polonium	[n] - polonio [n]
polygamie	[n] - poligamia [n]
polygone	[n] - polígono [n]
polygone industriel	[n] - polígono industrial [n]
Polynésie	[np] - Polynesia [np]
Polynésie française	[np] - Polinesia Francesa [np]
polyvalent	[adj.f] - polivalente [adj.mf]
polyvalent	[adj.GD] - polivalente [adj.mf]
polyvalent	[adj.mf] - polifacético [adj.f]
polyvalent	[adj.mf] - polifacético [adj.GD]
polyvalent	[adj.mf] - polifacético [adj.m]
polyvalent	[adj.m] - polivalente [adj.mf]
polémique	[adj.mf] - polémico [adj.f]
polémique	[adj.mf] - polémico [adj.GD]
polémique	[adj.mf] - polémico [adj.m]
polémique	[n] - polémica [n]
Pomares	[np] - Pomares [np]
Pombo	[np] - Pombo [np]
Pomeranie	[np] - Pomerania [np]
pomme	[n] - manzana [n]
pomme de terre	[n] - patata [n]
pommette	[n.f] - pómulo [n.m]
Pomone	[np] - Pomona [np]
pompe	[n] - bomba [n]
pomper	[vblex] - aspirar [vblex]
pompeux	[adj.f] - aparatoso [adj.f]
pompeux	[adj.m.sp] - aparatoso [adj.m.ND]
pompeux	[adj.m.sp] - aparatoso [adj.m.pl]
pompeux	[adj.m.sp] - aparatoso [adj.m.sg]
Pompidou	[np] - Pompidou [np]
pompier	[n] - bombero [n]
Pompée	[np] - Pompeyo [np]
Pompéi	[np] - Pompeya [np]
Ponce	[np] - Ponce [np]
Ponce Pilate	[np] - Pilatos [np]
Ponce Pilate	[np] - Poncio Pilato [np]
ponction	[n] - punción [n]
ponctuable	[adj] - puntuable [adj]
ponctualité	[n] - puntualidad [n]
ponctuation	[n] - puntuación [n]
ponctuel	[adj.f] - puntual [adj.mf]
ponctuel	[adj.GD] - puntual [adj.mf]
ponctuel	[adj.m] - puntual [adj.mf]
ponctuellement	[adv] - puntualmente [adv]
pondération	[n] - ponderación [n]
pondérer	[vblex] - ponderar [vblex]
Pons	[np] - Pons [np]
Pont	[np] - Pont [np]
pont	[n] - puente [n]
Pont d'Adam	[np] - Puente de Adam [np]
Pont-Euxin	[np] - Ponto Euxino [np]
Pontejos	[np] - Pontejos [np]
Pontevedra	[np] - Pontevedra [np]
Pontevedresa	[np] - Pontevedresa [np]
Pontoise	[np] - Pontoise [np]
Poor's	[np] - Poor's [np]
Poors	[np] - Poors [np]
pop	[n] - pop [n]
populaire	[adj] - popular [adj]
populairement	[adv] - popularmente [adv]
popularité	[n] - popularidad [n]
population	[n] - población [n]
populeux	[adj.f] - populoso [adj.f]
populeux	[adj.m.sp] - populoso [adj.m.ND]
populeux	[adj.m.sp] - populoso [adj.m.pl]
populeux	[adj.m.sp] - populoso [adj.m.sg]
porcelaine	[n] - porcelana [n]
porche	[n] - porche [n]
porche	[n] - portal [n]
porno	[adj] - porno [adj]
porno	[n] - porno [n]
pornographie	[n] - pornografía [n]
Porsche	[np] - Porsche [np]
port	[n] - puerto [n]
Port d'Espagne	[np] - Puerto España [np]
Port Moresby	[np] - Port Moresby [np]
Port Stanley	[np] - Puerto Argentino [np]
Port-au-Prince	[np] - Puerto Príncipe [np]
Port-aux-Français	[np] - Port-aux-Français [np]
Port-de-Bouc	[np] - Port-de-Bouc [np]
Port-Louis	[np] - Port Louis [np]
Port-Royal	[np] - Port Royal [np]
Port-Saïd	[np] - Port Said [np]
Port-Vila	[np] - Port Vila [np]
portable	[adj] - portátil [adj]
portail	[n] - portal [n]
porte	[n] - puerta [n]
porte-monnaie	[n.m.sp] - monedero [n.m.ND]
porte-monnaie	[n.m.sp] - monedero [n.m.pl]
porte-monnaie	[n.m.sp] - monedero [n.m.sg]
porte-monnaie électronique	[n] - monedero electrónico [n]
porte-nage	[n] - batanga [n]
porte-parole	[n.mf.sp] - portavoz [n.mf.ND]
porte-parole	[n.mf.sp] - portavoz [n.mf.pl]
porte-parole	[n.mf.sp] - portavoz [n.mf.sg]
portefeuille	[n.m] - cartera [n.f]
portefeuille de valeurs	[n] - cartera de valores [n]
portefeuille effets	[n] - cartera de efectos [n]
porter	[vblex] - acarrear [vblex]
porter	[vblex] - llevar [vblex]
porter	[vblex] - portar [vblex]
porteur	[n] - costalero [n]
porteur	[n] - portador [n]
portfolio	[n.m] - carpeta [n.f]
portier	[n] - portero [n]
portion	[n] - porción [n]
Portland	[np] - Portland [np]
Porto	[np] - Oporto [np]
Porto Novo	[np] - Porto-Novo [np]
Porto Rico	[np] - Puerto Rico [np]
portraire	[vblex] - retratar [vblex]
portrait	[n] - retrato [n]
portuaire	[adj.mf] - portuario [adj.f]
portuaire	[adj.mf] - portuario [adj.GD]
portuaire	[adj.mf] - portuario [adj.m]
Portuetxe	[np] - Portuetxe [np]
portugais	[adj.f] - portugués [adj.f]
portugais	[adj.m.sp] - portugués [adj.m.ND]
portugais	[adj.m.sp] - portugués [adj.m.pl]
portugais	[adj.m.sp] - portugués [adj.m.sg]
portugais	[n.f] - portugués [n.f]
portugais	[n.m.sp] - portugués [n.m.ND]
portugais	[n.m.sp] - portugués [n.m.pl]
portugais	[n.m.sp] - portugués [n.m.sg]
Portugal	[np] - Portugal [np]
Portugalete	[np] - Portugalete [np]
portée	[n.f] - alcance [n.m]
portée	[n.f] - pentagrama [n.m]
portée	[n] - camada [n]
poser	[vblex] - plantear [vblex]
poser	[vblex] - posar [vblex]
poser à nouveau	[vblex] - replantear [vblex]
positif	[adj] - positivo [adj]
position	[n] - posición [n]
position	[n] - postura [n]
positionnement	[n] - posicionamiento [n]
positionner	[vblex] - posicionar [vblex]
positivement	[adv] - positivamente [adv]
possesseur	[n] - poseedor [n]
possession	[n] - posesión [n]
possession	[n] - tenencia [n]
possibilité	[n] - posibilidad [n]
